received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,topics_list,topics_count,topic_A1,topic_A2,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-07-04T13:29:09.441000,orange,samerou,RING,2013-07-04T14:45:00,,M,6,BOULKASSOUMBOUGOU,91091112,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-04T13:45:41.561000,orange,samerou,RING,2013-07-04T14:55:00,35,M,2,BANCONI,91091001,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06T11:07:40.403000,orange,abba,RING,2013-07-06T14:28:00,29,M,2,SENOU,91096595,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-06T08:00:12.321000,orange,abba,RING,2013-07-06T13:40:00,30,M,1,DISTRICT DE BAMAKO,91000000,cercle,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-06T08:04:17,orange,abba,CALL_ME,2013-07-06T13:43:00,30,M,3,SIKASSO,31000000,cercle,E10,1,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06T09:43:40.361000,orange,abba,RING,2013-07-06T13:48:00,35,M,3,TOROKOROBOUGOU,91095892,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-06T11:18:44.161000,orange,abba,RING,2013-07-06T14:29:00,27,M,4,COMMUNE DE KATI,25091000,commune,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-06T12:03:00.681000,orange,abba,RING,2013-07-06T14:38:00,,M,4,DISTRICT DE BAMAKO,91000000,cercle,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-07-06T12:52:36.201000,orange,abba,RING,2013-07-06T14:47:00,,M,1,DISTRICT DE BAMAKO,91000000,cercle,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-07-06T17:59:16.273000,malitel,abba,RING,2013-07-06T18:30:00,,M,1,SEGOU,41000000,cercle,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-07-06T17:57:31.795000,malitel,abba,RING,2013-07-06T18:26:00,,M,1,NIARELA,91092631,village,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06T16:00:31.393000,orange,abba,RING,2013-07-06T19:02:00,,M,2,DISTRICT DE BAMAKO,91000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06T10:59:25.801000,orange,abba,RING,2013-07-06T14:10:00,28,M,2,BOULKASSOUMBOUGOU,91091112,village,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-07-06T10:59:59.001000,orange,abba,RING,2013-07-06T14:01:00,40,M,4,FLABOUGOU-DAOUDABOUGOU,91095199,village,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-07-06T14:06:40.041000,orange,abba,RING,2013-07-06T13:38:00,,M,4,DISTRICT DE BAMAKO,91000000,cercle,E8,1,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
2013-07-06T16:32:43.193000,orange,abba,RING,2013-07-06T16:34:00,,M,2,DISTRICT DE BAMAKO,91000000,cercle,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06T16:34:59.473000,orange,abba,RING,2013-07-06T14:34:00,,M,2,NIARELA,91092631,village,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06T07:46:53,malitel,abba,CALL_ME,2013-07-06T14:01:00,,M,1,DISTRICT DE BAMAKO,91000000,cercle,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-06T09:10:49.760000,malitel,abba,RING,2013-07-06T13:48:00,,M,2,DIELIBOUGOU,91091223,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-05T20:39:18.071000,malitel,abba,RING,2013-07-06T13:34:00,,M,1,MAGNAMBOUGOU,91096298,village,F12,1,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,
2013-07-12T00:06:04.457000,malitel,Abderhamane,RING,2013-07-12T12:30:00,30,M,30,DISTRICT DE BAMAKO,91000000,cercle,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-12T11:11:39.588000,malitel,Abderhamane,RING,2013-07-12T12:37:00,35,M,2,HAMDALLAYE,91094223,village,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-07-12T11:03:18.228000,orange,Abderhamane,RING,2013-07-12T12:11:00,27,M,2,DARSALAM,91093331,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-12T13:09:10.298000,orange,Abderhamane,CHARGE_ME,2013-07-12T13:41:00,27,M,2,SABALIBOUGOU,91095694,village,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-07-12T10:33:28.108000,orange,Abderhamane,RING,2013-07-12T12:08:00,26,M,1,SIKORONI (MEKIN SICORO),91091778,village,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
